date,stock_name,open_price,close_price
2025-01-23,Stock_D,95,96
2025-01-23,Stock_E,327,328
2025-01-23,Stock_F,65,66
2025-01-23,Stock_G,202,203
2025-01-23,Stock_H,82,83
2025-01-23,Stock_I,519,520
2025-01-23,Stock_J,152,153
2025-01-24,Stock_A,172,173
2025-01-24,Stock_B,118,119
2025-01-24,Stock_C,233,234
2025-01-24,Stock_D,96,97
2025-01-24,Stock_E,328,329
2025-01-24,Stock_F,66,67
2025-01-24,Stock_G,203,204
2025-01-24,Stock_H,83,84
2025-01-24,Stock_I,520,521
2025-01-24,Stock_J,153,154
2025-01-25,Stock_A,173,174
2025-01-25,Stock_B,119,120
2025-01-25,Stock_C,234,235
2025-01-25,Stock_D,97,98
2025-01-25,Stock_E,329,330
2025-01-25,Stock_F,67,68
2025-01-25,Stock_G,204,205
2025-01-25,Stock_H,84,85
2025-01-25,Stock_I,521,522
2025-01-25,Stock_J,154,155
2025-01-26,Stock_A,174,175
2025-01-26,Stock_B,120,121
2025-01-26,Stock_C,235,236
2025-01-26,Stock_D,98,99
2025-01-26,Stock_E,330,331
2025-01-26,Stock_F,68,69
2025-01-26,Stock_G,205,206
2025-01-26,Stock_H,85,86
2025-01-26,Stock_I,522,523
2025-01-26,Stock_J,155,156
2025-01-27,Stock_A,175,176
2025-01-27,Stock_B,121,122
2025-01-27,Stock_C,236,237
2025-01-27,Stock_D,99,100
2025-01-27,Stock_E,331,332
2025-01-27,Stock_F,69,70
2025-01-27,Stock_G,206,207
2025-01-27,Stock_H,86,87
2025-01-27,Stock_I,523,524
2025-01-27,Stock_J,156,157
2025-01-28,Stock_A,176,177
2025-01-28,Stock_B,122,123
2025-01-28,Stock_C,237,238
2025-01-28,Stock_D,100,101
2025-01-28,Stock_E,332,333
2025-01-28,Stock_F,70,71
2025-01-28,Stock_G,207,208
2025-01-28,Stock_H,87,88
2025-01-28,Stock_I,524,525
2025-01-28,Stock_J,157,158
2025-01-29,Stock_A,177,178
2025-01-29,Stock_B,123,124
2025-01-29,Stock_C,238,239
2025-01-29,Stock_D,101,102
2025-01-29,Stock_E,333,334
2025-01-29,Stock_F,71,72
2025-01-29,Stock_G,208,209
2025-01-29,Stock_H,88,89
2025-01-29,Stock_I,525,526
2025-01-29,Stock_J,158,159
2025-01-30,Stock_A,178,179
2025-01-30,Stock_B,124,125
2025-01-30,Stock_C,239,240
2025-01-30,Stock_D,102,103
2025-01-30,Stock_E,334,335
2025-01-30,Stock_F,72,73
2025-01-30,Stock_G,209,210
2025-01-30,Stock_H,89,90
2025-01-30,Stock_I,526,527
2025-01-30,Stock_J,159,160
